Time,Rating,Sentiment,Product
1998-11,5.0,Excellent,Camera
1998-12,5.0,Excellent,Camera
1999-05,5.0,Excellent,Camera
1999-06,4.0,Average,Camera
1999-07,4.204081632653061,Good,Camera
1999-08,4.478260869565218,Excellent,Camera
1999-09,4.35,Excellent,Camera
1999-10,4.2075471698113205,Good,Camera
1999-11,4.494117647058824,Excellent,Camera
1999-12,4.321917808219178,Excellent,Camera
2000-01,4.335766423357664,Excellent,Camera
2000-02,4.03,Average,Camera
2000-03,4.081081081081081,Average,Camera
2000-04,4.240384615384615,Good,Camera
2000-05,4.141025641025641,Good,Camera
2000-06,4.235033259423504,Good,Camera
2000-07,4.256505576208179,Good,Camera
2000-08,4.215447154471545,Good,Camera
2000-09,4.029411764705882,Average,Camera
2000-10,4.298245614035087,Good,Camera
2000-11,4.130982367758186,Good,Camera
2000-12,4.05189620758483,Average,Camera
2001-01,4.156908665105386,Good,Camera
2001-02,4.059701492537314,Average,Camera
2001-03,4.03030303030303,Average,Camera
2001-04,4.100303951367781,Average,Camera
2001-05,4.145363408521304,Good,Camera
2001-06,4.187891440501044,Good,Camera
2001-07,4.123287671232877,Good,Camera
2001-08,4.1886120996441285,Good,Camera
2001-09,4.123943661971831,Good,Camera
2001-10,4.097560975609756,Average,Camera
2001-11,3.965785381026439,Fair,Camera
2001-12,3.9351403678606,Fair,Camera
2002-01,3.8380187416332,Fair,Camera
2002-02,4.026052104208417,Average,Camera
2002-03,3.981404958677686,Fair,Camera
2002-04,4.140692640692641,Good,Camera
2002-05,4.01195219123506,Average,Camera
2002-06,4.0349907918968695,Average,Camera
2002-07,4.109259259259259,Average,Camera
2002-08,3.935897435897436,Fair,Camera
2002-09,3.9379474940334127,Fair,Camera
2002-10,3.9424778761061945,Fair,Camera
2002-11,3.926243567753002,Fair,Camera
2002-12,3.915309446254072,Fair,Camera
2003-01,3.928467153284672,Fair,Camera
2003-02,3.9512711864406778,Fair,Camera
2003-03,3.992805755395684,Average,Camera
2003-04,4.015901060070672,Average,Camera
2003-05,3.9926873857404015,Average,Camera
2003-06,4.0,Average,Camera
2003-07,3.9325259515570936,Fair,Camera
2003-08,4.060975609756097,Average,Camera
2003-09,3.944043321299639,Fair,Camera
2003-10,3.8093699515347335,Fair,Camera
2003-11,3.865573770491803,Fair,Camera
2003-12,3.7901364113326337,Poor,Camera
2004-01,3.755332496863237,Poor,Camera
2004-02,3.8536585365853657,Fair,Camera
2004-03,3.852272727272727,Fair,Camera
2004-04,3.880452342487884,Fair,Camera
2004-05,3.871753246753247,Fair,Camera
2004-06,3.785613540197461,Poor,Camera
2004-07,3.827485380116959,Fair,Camera
2004-08,3.681034482758621,Poor,Camera
2004-09,3.8633405639913234,Fair,Camera
2004-10,3.872844827586207,Fair,Camera
2004-11,3.6912028725314174,Poor,Camera
2004-12,3.7869047619047618,Poor,Camera
2005-01,3.839142091152815,Fair,Camera
2005-02,3.65924276169265,Poor,Camera
2005-03,3.87858347386172,Fair,Camera
2005-04,3.746741154562384,Poor,Camera
2005-05,3.849624060150376,Fair,Camera
2005-06,3.570951585976628,Poor,Camera
2005-07,3.966745843230404,Fair,Camera
2005-08,4.002314814814815,Average,Camera
2005-09,4.0955149501661126,Average,Camera
2005-10,3.941299790356394,Fair,Camera
2005-11,3.716901408450704,Poor,Camera
2005-12,3.691533948030176,Poor,Camera
2006-01,3.8339859044635856,Fair,Camera
2006-02,4.005376344086022,Average,Camera
2006-03,4.044566544566544,Average,Camera
2006-04,3.835538752362949,Fair,Camera
2006-05,3.750283768444949,Poor,Camera
2006-06,3.966197183098592,Fair,Camera
2006-07,4.072200113700967,Average,Camera
2006-08,4.150259067357513,Good,Camera
2006-09,3.8538565629228687,Fair,Camera
2006-10,3.829383886255924,Fair,Camera
2006-11,4.142735042735043,Good,Camera
2006-12,3.612012987012987,Poor,Camera
2007-01,4.232806844356697,Good,Camera
2007-02,4.142857142857143,Good,Camera
2007-03,4.207281903388608,Good,Camera
2007-04,4.130316248636859,Good,Camera
2007-05,4.221508828250402,Good,Camera
2007-06,4.16554054054054,Good,Camera
2007-07,4.137605725439167,Good,Camera
2007-08,4.166167166167166,Good,Camera
2007-09,4.135270900609975,Good,Camera
2007-10,4.11063372717508,Average,Camera
2007-11,4.059167750325098,Average,Camera
2007-12,3.870190360469826,Fair,Camera
2008-01,4.055616338439096,Average,Camera
2008-02,4.1226468910439245,Good,Camera
2008-03,4.0573116691285085,Average,Camera
2008-04,4.120093579412529,Average,Camera
2008-05,4.125028676301904,Good,Camera
2008-06,4.145411764705883,Good,Camera
2008-07,4.122312824314307,Average,Camera
2008-08,4.1602266872746005,Good,Camera
2008-09,4.1010840108401085,Average,Camera
2008-10,4.101918121958202,Average,Camera
2008-11,4.107816711590297,Average,Camera
2008-12,3.9459759481961143,Fair,Camera
2009-01,4.128906773977197,Good,Camera
2009-02,4.098768054375531,Average,Camera
2009-03,4.092403890690134,Average,Camera
2009-04,4.1052283256121775,Average,Camera
2009-05,4.068401174989509,Average,Camera
2009-06,4.022887323943662,Average,Camera
2009-07,3.943613630791861,Fair,Camera
2009-08,3.955864715759175,Fair,Camera
2009-09,4.070414537194775,Average,Camera
2009-10,4.05439789427506,Average,Camera
2009-11,3.965389369592089,Fair,Camera
2009-12,3.839953099809468,Fair,Camera
2010-01,3.986445998002568,Fair,Camera
2010-02,4.045420920254475,Average,Camera
2010-03,4.023593776713968,Average,Camera
2010-04,4.037368421052632,Average,Camera
2010-05,4.009179078628334,Average,Camera
2010-06,4.000986193293886,Average,Camera
2010-07,4.013018597997139,Average,Camera
2010-08,3.984895601954687,Fair,Camera
2010-09,3.986986986986987,Fair,Camera
2010-10,3.985769728331177,Fair,Camera
2010-11,3.9799917207120186,Fair,Camera
2010-12,3.901514401662872,Fair,Camera
2011-01,3.983028720626632,Fair,Camera
2011-02,3.9914761720263465,Average,Camera
2011-03,3.975211331962532,Fair,Camera
2011-04,3.9941141141141134,Average,Camera
2011-05,3.9322033898305087,Fair,Camera
2011-06,3.946630788204956,Fair,Camera
2011-07,3.9611365120836055,Fair,Camera
2011-08,3.933482506102522,Fair,Camera
2011-09,4.016620212656137,Average,Camera
2011-10,4.012988351716318,Average,Camera
2011-11,4.090514905149052,Average,Camera
2011-12,3.940092845037212,Fair,Camera
2012-01,3.987074979804656,Fair,Camera
2012-02,3.9932223082881486,Average,Camera
2012-03,4.007436361902946,Average,Camera
2012-04,3.957907642010625,Fair,Camera
2012-05,3.966184971098266,Fair,Camera
