Time,Rating
1999-03,5.0
1999-12,5.0
2000-03,5.0
2000-04,5.0
2000-05,5.0
2000-07,3.0
2000-10,4.0
2000-11,4.75
2000-12,3.7142857142857144
2001-01,4.583333333333333
2001-02,3.0
2001-03,5.0
2001-04,4.5
2001-05,3.3333333333333335
2001-06,4.142857142857143
2001-07,3.5714285714285716
2001-08,3.8333333333333335
2001-09,4.571428571428571
2001-10,4.888888888888889
2001-11,4.666666666666667
2001-12,3.111111111111111
2002-01,3.2857142857142856
2002-02,2.4
2002-03,3.5
2002-04,4.0
2002-05,3.8
2002-06,3.3333333333333335
2002-07,3.3636363636363638
2002-08,3.8823529411764706
2002-09,4.0
2002-10,4.444444444444445
2002-11,4.181818181818182
2002-12,3.727272727272727
2003-01,3.75
2003-02,4.0
2003-03,3.7142857142857144
2003-04,3.8181818181818183
2003-05,3.727272727272727
2003-06,3.238095238095238
2003-07,3.5757575757575757
2003-08,3.6875
2003-09,3.16
2003-10,3.4444444444444446
2003-11,4.095238095238095
2003-12,3.6296296296296298
2004-01,3.8333333333333335
2004-02,4.041666666666667
2004-03,3.966666666666667
2004-04,4.673469387755102
2004-05,3.676470588235294
2004-06,3.7464788732394365
2004-07,3.761904761904762
2004-08,4.0
2004-09,4.114285714285714
2004-10,4.0
2004-11,3.896551724137931
2004-12,3.851063829787234
2005-01,3.8524590163934427
2005-02,4.03125
2005-03,3.9210526315789473
2005-04,4.216216216216216
2005-05,3.6363636363636362
2005-06,3.4477611940298507
2005-07,3.921259842519685
2005-08,4.040816326530612
2005-09,4.067510548523207
2005-10,4.017441860465116
2005-11,4.028776978417266
2005-12,3.6470588235294117
2006-01,3.8493150684931505
2006-02,3.9037433155080214
2006-03,4.020408163265306
2006-04,3.8450704225352115
2006-05,3.6459627329192545
2006-06,3.849056603773585
2006-07,3.9303370786516854
2006-08,4.031971580817052
2006-09,3.923444976076555
2006-10,3.7609756097560973
2006-11,4.056478405315614
2006-12,3.9857142857142858
2007-01,4.246478873239437
2007-02,4.097053726169844
2007-03,4.141630901287554
2007-04,4.12421052631579
2007-05,4.161739130434783
2007-06,4.111702127659575
2007-07,4.16829052258636
2007-08,4.113857016769638
2007-09,4.069943289224953
2007-10,4.182730923694779
2007-11,4.019680196801968
2007-12,4.070388349514563
2008-01,4.174433249370277
2008-02,4.171122994652406
2008-03,4.175475687103594
2008-04,4.042253521126761
2008-05,4.088874259381172
2008-06,4.052417006406523
2008-07,3.9762140733399405
2008-08,4.053181818181818
2008-09,4.067672833495618
2008-10,4.102156640181612
2008-11,4.03475935828877
2008-12,4.061784897025172
2009-01,4.201561391057488
2009-02,4.191890348372358
2009-03,4.130381303813038
2009-04,4.1434034416826
2009-05,4.037387387387388
2009-06,4.063277249451353
2009-07,3.9935897435897436
2009-08,3.9976206662134603
2009-09,4.138491729744883
2009-10,4.104405775638653
2009-11,4.105538595726123
2009-12,4.0320582877959925
2010-01,4.090211721386929
2010-02,4.17803710353082
2010-03,4.135214007782102
2010-04,4.095016611295681
2010-05,4.114052953156823
2010-06,4.075161637931035
2010-07,4.090656403677571
2010-08,4.088564574170332
2010-09,4.064391748602275
2010-10,4.108908635224425
2010-11,4.1190419729665635
2010-12,4.070796460176991
2011-01,4.130190114068441
2011-02,4.1171153468264885
2011-03,4.122597864768683
2011-04,4.094798657718121
2011-05,4.066576495341148
2011-06,4.1913871089332835
2011-07,4.142907990745685
2011-08,4.105382492113565
2011-09,4.106978645141514
2011-10,4.141223695414183
2011-11,4.145973367152822
2011-12,4.111795204147764
2012-01,4.153488804236737
2012-02,4.135210246495892
2012-03,4.121478873239437
2012-04,4.1084790565270435
2012-05,4.113101378598893
2012-06,4.0584118206169535
2012-07,4.0706791023025355
2012-08,4.109173989455185
2012-09,4.132622272121255
2012-10,4.154386448147638
2012-11,4.2336874051593325
2012-12,4.289856420752318
2013-01,4.3125133290680315
2013-02,4.291712200796701
2013-03,4.2725
2013-04,4.2547379965043355
2013-05,4.247218306691059
2013-06,4.237928106425135
2013-07,4.20066931085771
2013-08,4.207888534590323
2013-09,4.204355386271425
2013-10,4.234004533937858
2013-11,4.212868600373877
2013-12,4.209661593227301
2014-01,4.246465819087385
2014-02,4.218216560509554
2014-03,4.233804095873062
2014-04,4.215627367486089
2014-05,4.197798409141281
2014-06,4.1875589066918
2014-07,4.246874753269995
2014-08,4.261965364076459
2014-09,4.267851995492781
2014-10,4.277149877149877
2014-11,4.293097941287494
2014-12,4.2989934193933
2015-01,4.331531004428483
2015-02,4.2966541026384455
2015-03,4.296767819653542
2015-04,4.278550749422816
2015-05,4.276126021003501
2015-06,4.267705904013748
2015-07,4.257272082298687
2015-08,4.260943056775867
